drug_abbreviation,page,context
LEN,11,"OATP, BCRP  — 
IBA [a] [20]  — — — — — — 
MVC [21]  3A4 — — — P-gP substrate — 
Capsid Inhibitor  
LEN [22]  3A4 (minor) 3A4 (moderate)  — Substrate (minor)  P-gP substrate — 
Drug name abbreviations"
MVC,11,"R [19]  3A4 — — — Substrate of P -gP, BCRP; 
Inhibitor of OATP, BCRP  — 
IBA [a] [20]  — — — — — — 
MVC [21]  3A4 — — — P-gP substrate — 
Capsid Inhibitor  
LEN [22]  3A4 (minor) 3A4 (moderate)  — Sub"
RAL,11,"itegravir; FTC, emtricitabine; FTR, fostemsavir; IBA, ibalizumab; LEN, lenacapavir; MVC, maraviroc; RAL, raltegravir; RPV, rilpivirine; RTV, ritonavir; TAF, 
tenofovir alafenamide; TDF,  tenofovir dis"
RPV,11,"tricitabine; FTR, fostemsavir; IBA, ibalizumab; LEN, lenacapavir; MVC, maraviroc; RAL, raltegravir; RPV, rilpivirine; RTV, ritonavir; TAF, 
tenofovir alafenamide; TDF,  tenofovir disoproxil fumarate."
RTV,11,"fostemsavir; IBA, ibalizumab; LEN, lenacapavir; MVC, maraviroc; RAL, raltegravir; RPV, rilpivirine; RTV, ritonavir; TAF, 
tenofovir alafenamide; TDF,  tenofovir disoproxil fumarate.  
Other abbreviati"
TAF,11,", ibalizumab; LEN, lenacapavir; MVC, maraviroc; RAL, raltegravir; RPV, rilpivirine; RTV, ritonavir; TAF, 
tenofovir alafenamide; TDF,  tenofovir disoproxil fumarate.  
Other abbreviations:  BCRP, brea"
TDF,11,"formation.  
ARV  CYP Substrate  CYP Inhibitor  CYP Inducer  UGT1A1  Drug Transport Protein Other  
TDF [18]  — — — — Substrate of P -gP, OATP, 
MRP — 
Entry Inhibitors (EIs)  
FTR [19]  3A4 — — — Sub"
TDF,13,"this area of pharmacotherapeutic research is rapidly evolving. An example of such an interaction is TDF with diclofena c 
[Morelle, et al. 2009] , which are both substrates of OATP1B3 and compete for"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
ATV,15,"A COMMITTEE OCTOBER 7 , 2025 15 
 
Boosted Protease Inhibitors (PIs)  
Table 3: Boosted Atazanavir (ATV) Interactions  (also see prescribing information) 
Class or Drug  Mechanism of Action  Clinical"
