drug_abbreviation,page,context
COBI,67,"Class or Drug  Mechanism of Action  Clinical Comments  
Elvitegravir (EVG), boosted  • Metformin:  COBI is known to inhibit MATE1, which is involved 
in metformin elimination, thus increasing metform"
EVG,67,"orter 2 (SGLT -2) inhibitors 
Class or Drug  Mechanism of Action  Clinical Comments  
Elvitegravir (EVG), boosted  • Metformin:  COBI is known to inhibit MATE1, which is involved 
in metformin elimina"
COBI,67,"Class or Drug  Mechanism of Action  Clinical Comments  
Elvitegravir (EVG), boosted  • Metformin:  COBI is known to inhibit MATE1, which is involved 
in metformin elimination, thus increasing metform"
RTV,67,"rate of CYP3A ; levels may be increased  by 
CYP3A4 inhibitors . 
• Canagliflozin , bexagliflozin : RTV induces UGT and may  
decrease concentrations ; no significant interactions are 
expected with C"
COBI,67,"Class or Drug  Mechanism of Action  Clinical Comments  
Elvitegravir (EVG), boosted  • Metformin:  COBI is known to inhibit MATE1, which is involved 
in metformin elimination, thus increasing metform"
EFV,67,"erapies.  
• GLP-1 agonists,  TZDs , exenatide : No dose adjustments are 
necessary.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Pioglitazone:  EFV may increase concentrations through 
CYP2C8 inhibiti"
ETR,67,"onists,  TZDs , exenatide : No dose adjustments are 
necessary.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Pioglitazone:  EFV may increase concentrations through 
CYP2C8 inhibition. No significant in"
EFV,67,"erapies.  
• GLP-1 agonists,  TZDs , exenatide : No dose adjustments are 
necessary.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Pioglitazone:  EFV may increase concentrations through 
CYP2C8 inhibiti"
EFV,67,"erapies.  
• GLP-1 agonists,  TZDs , exenatide : No dose adjustments are 
necessary.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Pioglitazone:  EFV may increase concentrations through 
CYP2C8 inhibiti"
ETR,67,"onists,  TZDs , exenatide : No dose adjustments are 
necessary.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Pioglitazone:  EFV may increase concentrations through 
CYP2C8 inhibition. No significant in"
EFV,67,"erapies.  
• GLP-1 agonists,  TZDs , exenatide : No dose adjustments are 
necessary.  
• Efavirenz (EFV)  
• Etravirine (ETR)  • Pioglitazone:  EFV may increase concentrations through 
CYP2C8 inhibiti"
ATV,67,", TZDs, GLP -1 agonists, SGLT- 2 
inhibitors:  No dose adjustments are necessary.  
Abbreviations:  ATV, atazanavir; COBI, cobicistat; CYP, cytochrome P450; GFR, glomerular filtration rate; MATE, mult"
COBI,67,"Class or Drug  Mechanism of Action  Clinical Comments  
Elvitegravir (EVG), boosted  • Metformin:  COBI is known to inhibit MATE1, which is involved 
in metformin elimination, thus increasing metform"
RTV,67,"rate of CYP3A ; levels may be increased  by 
CYP3A4 inhibitors . 
• Canagliflozin , bexagliflozin : RTV induces UGT and may  
decrease concentrations ; no significant interactions are 
expected with C"
TDF,67,"rusion ; NRTI, nucleoside reverse transcriptase 
inhibitor; PI, protease inhibitor; RTV, ritonavir; TDF, tenofovir disoproxil fumarate; UGT , uridine diphosphate glucuronosyltransferase."
TDF,68,"e; therefore, caution is 
recommended when coadministering SGLT -2 inhibitors in the long term with TDF due to potential additive bone toxicities. 
b. RTV-boosted PIs are known to cause metabolic abno"
RTV,68,"stering SGLT -2 inhibitors in the long term with TDF due to potential additive bone toxicities. 
b. RTV-boosted PIs are known to cause metabolic abnormalities, which may increase blood glucose and dec"
DTG,68,"gonists (H2RAs)  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted 
• Efavirenz (EFV)"
BIC,68,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted 
• Efavirenz (EFV)  
• Etravirine (ETR)"
RAL,68,"f Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted 
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)"
EVG,68,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted 
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No"
EFV,68,"vir (DTG)  
• Bictegravir (BIC)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted 
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No clinically significant inter"
ETR,68,"avir (BIC)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted 
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No clinically significant interactions reported.  No"
DOR,68,"ravir (RAL)  
• Elvitegravir (EVG), boosted 
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No clinically significant interactions reported.  No dose adjustments are"
FTR,68,"gravir (EVG), boosted 
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanav"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
RTV,68,"stering SGLT -2 inhibitors in the long term with TDF due to potential additive bone toxicities. 
b. RTV-boosted PIs are known to cause metabolic abnormalities, which may increase blood glucose and dec"
COBI,68,"-reducing agent, alternative PI, or boosted 
ATV.  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  If use cannot be avoided, do not exceed 
omeprazole 20  mg per d"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
ATV,68,"No clinically significant interactions reported.  No dose adjustments are necessary.  
Atazanavir (ATV), unboosted  • ATV requires acidic gastric pH for absorption, and acid -
reducing agents interfe"
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
RTV,69,"ntration and AUC.  
• H2RAs  reduce ATV absorption.  PPIs:  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
COBI,69,"and AUC.  
• H2RAs  reduce ATV absorption.  PPIs:  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent (pantopra"
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
RTV,69,"ntration and AUC.  
• H2RAs  reduce ATV absorption.  PPIs:  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
COBI,69,"and AUC.  
• H2RAs  reduce ATV absorption.  PPIs:  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent (pantopra"
RTV,69,"ntration and AUC.  
• H2RAs  reduce ATV absorption.  PPIs:  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
RTV,69,"ntration and AUC.  
• H2RAs  reduce ATV absorption.  PPIs:  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
RTV,69,"ntration and AUC.  
• H2RAs  reduce ATV absorption.  PPIs:  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
ATV,69,"not exceed 40  mg famotidine or 
equivalent, e.g., nizatidine 150 mg (300  mg daily).  
Atazanavir (ATV), boosted  • ATV requires acidic gastric pH for absorption, and acid-
reducing agents interfere"
DRV,69,"is dosed at 400 mg per day with RTV 100 mg per day; unboosted ATV is 
not recommended.  
Darunavir (DRV)/ritonavir (RTV)  No clinically significant interactions reported.  Omeprazole:  Do not exceed o"
RTV,69,"ntration and AUC.  
• H2RAs  reduce ATV absorption.  PPIs:  
• Timing:  Administer ≥12 hours before RTV- or COBI -boosted 
ATV.  
• ART-naive:  Do not exceed omeprazole 20  mg per day or 
equivalent ("
RPV,70,"-2 receptor agonists (H2RAs)  
Class or Drug  Mechanism of Action  Clinical Comments  
Rilpivirine (RPV)  • PPIs and H2RAs inhibit gastric acid secretion by proton pumps, 
thereby increasing gastric p"
RPV,70,"-2 receptor agonists (H2RAs)  
Class or Drug  Mechanism of Action  Clinical Comments  
Rilpivirine (RPV)  • PPIs and H2RAs inhibit gastric acid secretion by proton pumps, 
thereby increasing gastric p"
RPV,70,"-2 receptor agonists (H2RAs)  
Class or Drug  Mechanism of Action  Clinical Comments  
Rilpivirine (RPV)  • PPIs and H2RAs inhibit gastric acid secretion by proton pumps, 
thereby increasing gastric p"
RPV,70,"-2 receptor agonists (H2RAs)  
Class or Drug  Mechanism of Action  Clinical Comments  
Rilpivirine (RPV)  • PPIs and H2RAs inhibit gastric acid secretion by proton pumps, 
thereby increasing gastric p"
RPV,70,"-2 receptor agonists (H2RAs)  
Class or Drug  Mechanism of Action  Clinical Comments  
Rilpivirine (RPV)  • PPIs and H2RAs inhibit gastric acid secretion by proton pumps, 
thereby increasing gastric p"
RPV,70,"-2 receptor agonists (H2RAs)  
Class or Drug  Mechanism of Action  Clinical Comments  
Rilpivirine (RPV)  • PPIs and H2RAs inhibit gastric acid secretion by proton pumps, 
thereby increasing gastric p"
COBI,70,"ble.  
Abbreviations:  ART, antiretroviral therapy; ARV, antiretroviral; AUC, area under the curve; COBI, cobicistat; GI, gastrointestinal; NRTI, nucleoside reverse transcriptase inhibitor; PI, 
prote"
DRV,70,"um, zinc, and iron  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Darunavir (DRV), boosted or unboosted  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostems"
EFV,70,"ism of Action  Clinical Comments  
• NRTIs  
• Darunavir (DRV), boosted or unboosted  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No clinically significant inter"
ETR,70,"al Comments  
• NRTIs  
• Darunavir (DRV), boosted or unboosted  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No clinically significant interactions reported.  
N"
DOR,70,"• Darunavir (DRV), boosted or unboosted  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No clinically significant interactions reported.  
No dose adjustments ar"
FTR,70,"boosted or unboosted  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No clinically significant interactions reported.  
No dose adjustments are necessary.  
All INS"
DTG,70,"at least 2 hours before or at least 6 hours after; 
monitor for virologic efficacy.  
Dolutegravir (DTG)  DTG chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Divalent"
DTG,70,"at least 2 hours before or at least 6 hours after; 
monitor for virologic efficacy.  
Dolutegravir (DTG)  DTG chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Divalent"
DTG,70,"at least 2 hours before or at least 6 hours after; 
monitor for virologic efficacy.  
Dolutegravir (DTG)  DTG chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Divalent"
DTG,70,"at least 2 hours before or at least 6 hours after; 
monitor for virologic efficacy.  
Dolutegravir (DTG)  DTG chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Divalent"
DTG,70,"at least 2 hours before or at least 6 hours after; 
monitor for virologic efficacy.  
Dolutegravir (DTG)  DTG chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Divalent"
DTG,70,"at least 2 hours before or at least 6 hours after; 
monitor for virologic efficacy.  
Dolutegravir (DTG)  DTG chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Divalent"
BIC,71,"m, magnesium, zinc, and iron  
Class or Drug  Mechanism of Action  Clinical Comments  
Bictegravir (BIC)  BIC can chelate with cations, reducing absorption of both drugs.  • Aluminum/magnesium -contai"
BIC,71,"m, magnesium, zinc, and iron  
Class or Drug  Mechanism of Action  Clinical Comments  
Bictegravir (BIC)  BIC can chelate with cations, reducing absorption of both drugs.  • Aluminum/magnesium -contai"
BIC,71,"m, magnesium, zinc, and iron  
Class or Drug  Mechanism of Action  Clinical Comments  
Bictegravir (BIC)  BIC can chelate with cations, reducing absorption of both drugs.  • Aluminum/magnesium -contai"
BIC,71,"m, magnesium, zinc, and iron  
Class or Drug  Mechanism of Action  Clinical Comments  
Bictegravir (BIC)  BIC can chelate with cations, reducing absorption of both drugs.  • Aluminum/magnesium -contai"
BIC,71,"m, magnesium, zinc, and iron  
Class or Drug  Mechanism of Action  Clinical Comments  
Bictegravir (BIC)  BIC can chelate with cations, reducing absorption of both drugs.  • Aluminum/magnesium -contai"
BIC,71,"m, magnesium, zinc, and iron  
Class or Drug  Mechanism of Action  Clinical Comments  
Bictegravir (BIC)  BIC can chelate with cations, reducing absorption of both drugs.  • Aluminum/magnesium -contai"
EVG,71,"If not taken with food, these supplements should be administered as with antacids.  
Elvitegravir (EVG), boosted  EVG chelates with polyvalent cations, which may reduce 
absorption of both agents.  •"
EVG,71,"If not taken with food, these supplements should be administered as with antacids.  
Elvitegravir (EVG), boosted  EVG chelates with polyvalent cations, which may reduce 
absorption of both agents.  •"
EVG,71,"If not taken with food, these supplements should be administered as with antacids.  
Elvitegravir (EVG), boosted  EVG chelates with polyvalent cations, which may reduce 
absorption of both agents.  •"
EVG,71,"If not taken with food, these supplements should be administered as with antacids.  
Elvitegravir (EVG), boosted  EVG chelates with polyvalent cations, which may reduce 
absorption of both agents.  •"
RAL,71,"Other polyvalent cations: Administer at least 2 hours before or 
6 hours after EVG.  
Raltegravir (RAL)  RAL chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Aluminum"
RAL,71,"Other polyvalent cations: Administer at least 2 hours before or 
6 hours after EVG.  
Raltegravir (RAL)  RAL chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Aluminum"
RAL,71,"Other polyvalent cations: Administer at least 2 hours before or 
6 hours after EVG.  
Raltegravir (RAL)  RAL chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Aluminum"
RAL,71,"Other polyvalent cations: Administer at least 2 hours before or 
6 hours after EVG.  
Raltegravir (RAL)  RAL chelates with cations, forming insoluble compounds that 
inactivate both drugs. • Aluminum"
ATV,71,".  
• Other polyvalent cations: Administer at least 2 hours before or 
6 hours after.  
Atazanavir (ATV), boosted or 
unboosted  Antacids:  ATV requires acidic gastric pH for absorption; acid -
reduci"
ATV,71,".  
• Other polyvalent cations: Administer at least 2 hours before or 
6 hours after.  
Atazanavir (ATV), boosted or 
unboosted  Antacids:  ATV requires acidic gastric pH for absorption; acid -
reduci"
ATV,71,".  
• Other polyvalent cations: Administer at least 2 hours before or 
6 hours after.  
Atazanavir (ATV), boosted or 
unboosted  Antacids:  ATV requires acidic gastric pH for absorption; acid -
reduci"
ATV,71,".  
• Other polyvalent cations: Administer at least 2 hours before or 
6 hours after.  
Atazanavir (ATV), boosted or 
unboosted  Antacids:  ATV requires acidic gastric pH for absorption; acid -
reduci"
CAB,71,"uffered medications:  Administer ATV at least 2 
hours before or 1 to 2 hours after. 
Cabotegravir (CAB)  Antacids containing polyvalent cations (i.e., aluminum or 
magnesium hydroxide, calcium carbon"
CAB,71,"uffered medications:  Administer ATV at least 2 
hours before or 1 to 2 hours after. 
Cabotegravir (CAB)  Antacids containing polyvalent cations (i.e., aluminum or 
magnesium hydroxide, calcium carbon"
CAB,71,"uffered medications:  Administer ATV at least 2 
hours before or 1 to 2 hours after. 
Cabotegravir (CAB)  Antacids containing polyvalent cations (i.e., aluminum or 
magnesium hydroxide, calcium carbon"
CAB,71,"uffered medications:  Administer ATV at least 2 
hours before or 1 to 2 hours after. 
Cabotegravir (CAB)  Antacids containing polyvalent cations (i.e., aluminum or 
magnesium hydroxide, calcium carbon"
CAB,71,"uffered medications:  Administer ATV at least 2 
hours before or 1 to 2 hours after. 
Cabotegravir (CAB)  Antacids containing polyvalent cations (i.e., aluminum or 
magnesium hydroxide, calcium carbon"
RPV,71,"4 hours 
after oral CAB.  
• No effect of antacid use is expected on injectable CAB.  
Rilpivirine (RPV)  Antacids:  
• Antacids increase gastric pH.  
• RPV requires acidic environment for optimal ab"
RPV,71,"4 hours 
after oral CAB.  
• No effect of antacid use is expected on injectable CAB.  
Rilpivirine (RPV)  Antacids:  
• Antacids increase gastric pH.  
• RPV requires acidic environment for optimal ab"
RPV,71,"4 hours 
after oral CAB.  
• No effect of antacid use is expected on injectable CAB.  
Rilpivirine (RPV)  Antacids:  
• Antacids increase gastric pH.  
• RPV requires acidic environment for optimal ab"
DTG,72,"diphenhydramine  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boos"
BIC,72,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs"
CAB,72,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
•"
RAL,72,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• E"
EVG,72,"tegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Dor"
RPV,72,"gravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  No significant interactions repo"
EFV,72,"tegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjus"
ETR,72,"vitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjustments are necessary."
DOR,72,"sted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjustments are necessary.  
Abbreviations:  NR"
DTG,72,"diphenhydramine  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boos"
BIC,72,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs"
CAB,72,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
•"
RAL,72,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• E"
EFV,72,"tegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjus"
ETR,72,"vitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjustments are necessary."
DOR,72,"sted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Doravirine (DOR)  No significant interactions reported.  No dose adjustments are necessary.  
Abbreviations:  NR"
EVG,72,"tegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Elvitegravir (EVG), boosted  
• Boosted PIs  
• Rilpivirine (RPV)  
• Efavirenz (EFV)  
• Etravirine (ETR)  
• Dor"
RPV,73,"Salmeterol, formoterol, etc.  
Class or Drug  Mechanism of Action  Clinical Comments  
Rilpivirine (RPV)  RPV and drugs from LABA class may both theoretically increase 
QT interval, especially at high"
RPV,73,"Salmeterol, formoterol, etc.  
Class or Drug  Mechanism of Action  Clinical Comments  
Rilpivirine (RPV)  RPV and drugs from LABA class may both theoretically increase 
QT interval, especially at high"
DTG,73,"prednisone [a]  
Class or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Fos"
BIC,73,"s or Drug  Mechanism of Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No sign"
CAB,73,"Action  Clinical Comments  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions re"
RAL,73,"ents  
• NRTIs  
• Dolutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjus"
DOR,73,"lutegravir (DTG)  
• Bictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are necessary."
FTR,73,"ictegravir (BIC)  
• Cabotegravir (CAB)  
• Raltegravir (RAL)  
• Doravirine (DOR)  
• Fostemsavir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG),"
EVG,73,"vir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG), boosted  Risk of Cushing’s syndrome occurs when boosted EVG is coadministered with the followi"
EVG,73,"vir (FTR) No significant interactions reported.  No dose adjustments are necessary.  
Elvitegravir (EVG), boosted  Risk of Cushing’s syndrome occurs when boosted EVG is coadministered with the followi"
RPV,74,"rnative corticosteroid. Consider beclomethasone 
or flunisolide as safe alternatives. 
Rilpivirine (RPV)  Dexamethasone  is a CYP3A inducer, which is primarily 
responsible for metabolism of RPV.  Dex"
RPV,74,"rnative corticosteroid. Consider beclomethasone 
or flunisolide as safe alternatives. 
Rilpivirine (RPV)  Dexamethasone  is a CYP3A inducer, which is primarily 
responsible for metabolism of RPV.  Dex"
EFV,74,"enced HIV care 
provider  (see prescribing information  for Cabenuva
 and 
Edurant ). 
• Efavirenz (EFV)  
• Etravirine (ETR)  Coadministration may reduce corticosteroid concentrations.  Dexamethasone"
